director_id,movie_id,director_name,nationality
1,1,S. S. Rajamouli,Indian
2,2,Prashanth Neel,Indian
3,3,Sukumar,Indian
4,4,Siddharth Anand,Indian
5,5,Atlee Kumar,Indian
6,6,Rajkumar Hirani,Indian
7,7,Rajkumar Hirani,Indian
8,8,Rajkumar Santoshi,Indian
9,9,Indra Kumar,Indian
10,10,Priyadarshan,Indian
11,11,Anurag Kashyap,Indian
12,12,Aamir Khan,Indian
13,13,Farhan Akhtar,Indian
14,14,Aniruddha Roy Chowdhury,Indian
15,15,Anubhav Sinha,Indian
16,16,Stanley Kubrick,American
17,17,Christopher Nolan,British
18,18,Denis Villeneuve,Canadian
19,19,Denis Villeneuve,Canadian
20,20,Alfonso Cuarón,Mexican
21,21,S. S. Rajamouli,Indian
22,22,S. S. Rajamouli,Indian
23,23,Sanjay Leela Bhansali,Indian
24,24,Ashutosh Gowariker,Indian
25,25,Ashutosh Gowariker,Indian
26,26,Sriram Raghavan,Indian
27,27,Nishikant Kamat,Indian
28,28,Sujoy Ghosh,Indian
29,29,Neeraj Pandey,Indian
30,30,Ram Kumar,Indian
